Genes,TCGA.2L.AAQE.01A,TCGA.XD.AAUL.01A,TCGA.2L.AAQJ.01A,TCGA.2L.AAQI.01A,TCGA.3A.A9IB.01A,TCGA.3A.A9IU.01A,TCGA.FB.AAPS.01A,TCGA.HV.AA8X.01A,TCGA.LB.A9Q5.01A,TCGA.HZ.A9TJ.01A,TCGA.3A.A9IH.01A,TCGA.RB.AA9M.01A,TCGA.IB.AAUQ.01A,TCGA.3A.A9J0.01A,TCGA.FB.AAQ3.01A,TCGA.FB.AAQ1.01A,TCGA.2J.AAB9.01A,TCGA.2J.AABA.01A,TCGA.2J.AABR.01A,TCGA.FB.AAQ6.01A,TCGA.2J.AABE.01A,TCGA.2J.AABT.01A,TCGA.FB.AAPQ.01A,TCGA.HV.AA8V.01A,TCGA.2J.AABV.01A,TCGA.2J.AABF.01A,TCGA.2J.AABU.01A,TCGA.FB.AAPU.01A,TCGA.2J.AABH.01A,TCGA.FB.AAPY.01A,TCGA.2J.AAB1.01A,TCGA.XD.AAUG.01A,TCGA.2J.AAB4.01A,TCGA.2J.AABI.01A,TCGA.FB.AAPZ.01A,TCGA.XD.AAUH.01A,TCGA.3A.A9IX.01A,TCGA.2J.AABK.01A,TCGA.2J.AAB6.01A,TCGA.FB.AAQ0.01A,TCGA.XD.AAUI.01A,TCGA.2J.AAB8.01A,TCGA.3A.A9IZ.01A,TCGA.2J.AABO.01A,TCGA.Z5.AAPL.01A,TCGA.FB.AAQ2.01A,TCGA.F2.6879.01A,TCGA.HZ.7925.01A,TCGA.IB.7651.01A,TCGA.HZ.7926.01A,TCGA.IB.7885.01A,TCGA.IB.7652.01A,TCGA.IB.7644.01A,TCGA.IB.7887.01A,TCGA.IB.7889.01A,TCGA.IB.7646.01A,TCGA.IB.7886.01A,TCGA.IB.7893.01A,TCGA.HZ.7919.01A,TCGA.HZ.8001.01A,TCGA.IB.7647.01A,TCGA.IB.7897.01A,TCGA.IB.7888.01A,TCGA.HZ.8002.01A,TCGA.HZ.7922.01A,TCGA.HZ.8003.01A,TCGA.IB.7649.01A,TCGA.IB.7645.01A,TCGA.IB.7890.01A,TCGA.IB.7891.01A,TCGA.H6.8124.01A,TCGA.HZ.8315.01A,TCGA.HZ.8317.01A,TCGA.HZ.8519.01A,TCGA.HZ.8636.01A,TCGA.HZ.8637.01A,TCGA.IB.8127.01A,TCGA.IB.8126.01A,TCGA.F2.A44H.01A,TCGA.FB.A4P6.01A,TCGA.FB.A4P5.01A,TCGA.H6.A45N.01A,TCGA.HV.A5A3.01A,TCGA.HV.A5A5.01A,TCGA.HV.A5A4.01A,TCGA.HZ.A49H.01A,TCGA.HV.A5A6.01A,TCGA.HZ.A49G.01A,TCGA.HZ.A4BH.01A,TCGA.HZ.A49I.01A,TCGA.HZ.A4BK.01A,TCGA.M8.A5N4.01A,TCGA.F2.A44G.01A,TCGA.HZ.8005.01A,TCGA.PZ.A5RE.01A,TCGA.FB.A78T.01A,TCGA.FB.A5VM.01A,TCGA.US.A774.01A,TCGA.OE.A75W.01A,TCGA.US.A779.01A,TCGA.IB.A5SP.01A,TCGA.IB.A5SQ.01A,TCGA.US.A77G.01A,TCGA.US.A77E.01A,TCGA.Q3.A5QY.01A,TCGA.IB.A5ST.01A,TCGA.IB.A5SO.01A,TCGA.IB.A5SS.01A,TCGA.IB.A6UF.01A,TCGA.HV.A7OL.01A,TCGA.IB.A6UG.01A,TCGA.HZ.A77P.01A,TCGA.HZ.A77O.01A,TCGA.LB.A7SX.01A,TCGA.RB.A7B8.01A,TCGA.US.A776.01A,TCGA.HZ.A8P0.01A,TCGA.IB.A7LX.01A,TCGA.HZ.A77Q.01A,TCGA.IB.A7M4.01A,TCGA.XN.A8T5.01A,TCGA.LB.A8F3.01A,TCGA.YB.A89D.01A,TCGA.YY.A8LH.01A,TCGA.S4.A8RP.01A,TCGA.XN.A8T3.01A,TCGA.F2.A8YN.01A,TCGA.S4.A8RO.01A,TCGA.HZ.A8P1.01A,TCGA.IB.AAUM.01A,TCGA.IB.AAUP.01A,TCGA.IB.AAUT.01A,TCGA.YH.A8SY.01A,TCGA.IB.AAUU.01A,TCGA.IB.AAUS.01A,TCGA.Q3.AA2A.01A,TCGA.S4.A8RM.01A,TCGA.2L.AAQA.01A,TCGA.2L.AAQL.01A,TCGA.3A.A9I5.01A,TCGA.3A.A9I9.01A,TCGA.3A.A9I7.01A,TCGA.3E.AAAY.01A,TCGA.3E.AAAZ.01A,TCGA.F2.A7TX.01A,TCGA.IB.AAUN.01A,TCGA.IB.AAUO.01A,TCGA.3A.A9IC.01A,TCGA.IB.AAUR.01A,TCGA.FB.A545.01A
ANXA8L2,705.7461,649.0644,476.2376,794.368,700.1915,857.645,105.5172,303.4364,145.2386,325.3262,998.5481,522.7468,1590.5612,656.9844,552.6781,502.623,992.4973,107.7188,189.2393,51.6432,101.7419,60.0751,15.2565,260.9117,85.0394,202.0023,2288.2096,25.1558,374.1289,327.7356,151.2195,25,454.9663,4162.1916,1062.9978,230.0885,167.024,99.742,861.4035,81.7071,296.1862,196.4747,452.0446,937.5,141.3105,4058.1666,174.9117,493.8814,69.5086,547.3926,634.0522,561.092,108.2822,483.4895,2190.3585,863.4518,302.1231,173.913,223.4017,840.8998,88.8657,423.5634,20.9136,65.5971,285.6531,223.9119,172.226,129.7297,1134.5468,99.4961,643.0001,523.6653,276.7937,9.7545,291.1824,152.0973,879.8809,54.8927,38.0313,154.6322,549.1193,231.4887,1833.748,101.0976,485.223,100.859,89.9358,124.1794,692.1046,615.5962,337.0299,1690.4078,417.7704,927.555,709.5649,128.1731,1479.9165,386.1053,366.435,274.5689,153.8173,181.8454,224.555,176.8559,315.9121,128.8772,112.3596,558.6868,514.1202,516.3278,483.6487,57.8988,2760.6403,315.8993,107.5269,3.4297,171.5465,1971.8413,114.5711,1267.0555,134.6841,11.6751,377.184,100.9811,104.288,570.6751,322.9146,471.0059,69.4611,51.6129,333.9559,69.9761,1329.4393,279.0797,192.5527,122.5667,44.4906,232.0531,150.0678,64.8259,496.3173,536.7709,86.7869,252.8048,747.1416,1168.072,1567.6109,163.4568,192.5158,178.6525
AREG,311.8628,1311.4345,633.6634,300.2565,1943.767,1133.5677,213.1034,245.0832,175.3825,766.9221,678.7339,127.4678,160.7143,114.6026,243.2985,3051.7112,204.716,564.8974,1395.7947,302.3474,321.8745,141.4268,442.4382,256.547,162.2047,155.5772,1046.9432,320.6422,1442.0732,206.9339,545.3659,468.9189,1037.8788,742.7431,1393.9175,289.9531,233.1802,229.1488,1560.2339,166.9667,394.2546,297.0623,1913.0112,246.7949,337.8917,1080.9679,283.8634,873.8626,165.0828,3148.8712,2089.7877,1174.397,117.4847,380.4852,351.8747,476.1421,245.993,647.6762,1145.9241,305.9305,146.8897,378.0267,162.3555,98.0392,167.4518,115.8888,302.9272,352.5988,1021.8095,176.6913,4291.7474,644.8315,1334.5227,98.0725,707.5068,51.8732,939.7138,139.9763,190.1566,75.6131,271.6543,251.7537,563.751,158.8677,68.7802,919.3682,77.0878,167.9431,128.1497,3253.4727,212.1504,496.2665,465.7837,343.2514,1600.1286,237.6196,1242.5665,226.1053,488.5799,405.0521,256.8697,872.9558,273.8476,300,522.2654,185.6706,786.9043,381.8199,670.2355,664.8182,159.4269,95.092,870.2078,205.9608,154.7192,1747.1828,321.816,2506.36,626.322,779.1022,383.1943,1214.2132,451.1819,202.8442,157.7554,625.5274,468.6639,347.4551,111.976,51.6129,73.9191,98.6842,795.5607,432.8931,820.1862,377.0728,197.921,762.9198,205.0496,78.0312,457.7904,188.5038,392.4915,133.8818,196.1302,450.253,215.442,615.8025,598.7376,601.8168
CST6,1476.367,335.9667,140.5941,433.8658,238.6375,2087.8735,19.3103,18.1543,76.7298,194.1647,1035.7177,1438.6266,1370.5357,459.4666,860.5558,3346.4901,560.5573,434.6328,54.4218,46.0094,243.5641,31.9149,12.5642,255.5771,67.7165,118.7207,1175.7642,6.7583,754.7909,628.9274,48.2927,71.6216,509.6801,1732.2206,776.9732,392.5039,823.2772,43.4222,1322.807,49.1427,2062.4071,70.5053,85.5019,2240.3846,96.8661,1692.4151,60.0707,47.6938,10.0462,1197.2318,482.0005,127.7498,5.2147,122.9745,958.3848,135.0254,178.9382,467.0165,257.8626,849.0798,55.149,237.8027,8.8057,311.943,89.0792,82.3283,105.514,768.815,376.6449,293.7708,401.2057,1035.5926,115.713,6.3273,218.1246,18.5719,1138.8979,10.2924,10.0671,150.545,326.1304,204.9883,320.0299,188.3304,27.4046,109.7257,912.7409,103.9387,368.6105,1251.5472,147.541,125.7898,71.1921,358.3441,506.302,24.9688,3078.2473,272.4211,163.3565,43.3265,74.6242,218.6066,109.539,93.8865,1196.6367,58.104,53.4676,965.936,327.6493,788.663,447.6837,61.7331,796.5834,89.528,19.1159,8.3293,41.2244,1160.4199,552.879,321.0753,752.0858,21.8274,157.2456,357.1822,100.5823,651.8987,241.5422,1091.2813,37.1257,45.8781,474.3142,75.3589,225.4673,206.6468,120.0392,237.9236,4.158,89.6843,124.1941,15.6062,447.5921,1381.6568,49.7318,176.5146,122.2515,650.3654,1408.2429,51.358,215.0586,800.1514
CTSL2,205.2827,109.7713,187.6238,1184.993,49.1787,1061.5114,27.5862,137.8863,34.7111,84.1953,133.9657,139.485,255.7398,220.2271,155.4407,90.9318,172.5616,420.8549,125.5411,19.7183,44.3965,31.9149,105.0005,276.9156,50.3937,58.8287,541.4847,102.8758,127.1777,108.8841,336.0976,30.4054,97.2222,243.4688,240.4055,32.7954,70.6483,82.9751,237.4269,15.9862,221.892,44.1833,234.9442,165.0641,29.0598,899.4881,129.2697,106.3696,118.1102,182.1611,308.1312,173.0718,126.0736,76.027,271.5286,220.3046,145.0341,548.3508,54.266,364.4172,188.4475,40.1156,19.2625,58.1105,69.8073,54.5359,83.0497,34.9272,354.6099,51.8924,153.6445,118.8944,40.7799,15.0272,93.3322,52.8338,129.5085,21.9571,16.7785,44.2779,58.8342,76.3835,156.511,23.108,58.0333,33.8044,336.7238,64.0044,106.0715,246.4585,118.6114,59.7358,65.1214,85.3816,204.4998,67.8319,1134.5853,106.5263,199.1063,71.539,73.6089,511.7158,76.2209,208.2969,54.2475,15.2905,115.0717,737.4514,115.6409,252.6186,156.2062,69.0184,130.6419,155.8622,94.3847,37.7266,65.1611,447.2691,45.2409,426.0715,16.0906,73.6041,54.4707,155.2199,65.6432,138.7131,132.8739,129.6023,177.2455,19.3548,184.3578,112.4402,154.2056,124.4141,51.9353,67.0512,219.9584,174.1404,78.2681,147.6591,101.4164,77.7684,37.0551,60.2094,310.4661,183.8111,274.4672,82.963,36.0685,316.4269
DHRS9,1805.8387,9124.3243,5234.6535,3336.8315,549.0275,740.7733,40.6897,88.6103,4559.0317,194.1647,466.557,1484.1202,426.6582,27.4624,2080.052,458.1564,259.3783,2144.3557,492.8881,2380.2817,662.2476,226.5332,3179.6317,3525.2182,29.9213,185.7004,926.8559,3135.4601,84.4948,272.481,469.7561,80.4054,178.0303,201.7417,5615.496,64.0292,716.2838,196.0447,383.0409,2520.486,553.2442,102.4677,1030.4833,463.9423,219.943,86.5519,431.9788,519.2971,115.6666,696.8192,348.0742,67.5855,140.184,50.1007,3484.1368,2584.264,1498.9372,271.3643,9935.8314,4905.1125,53.8421,83.4839,105.1183,30.6595,2310.9208,216.5705,876.1062,57.7963,339.7491,247.8825,97.2121,184.7785,1170.8933,353.2719,649.8296,101.1848,6452.1142,72.7328,457.4944,273.842,499.7276,5134.8402,16737.3302,2491.6233,2247.7163,141.3134,16.5953,1154.267,83.0334,151.8361,1179.3635,368.7536,1642.3841,59.5084,10608.8405,2895.5472,1923.8393,47.1579,1240.8143,201.0146,10159.046,36.7612,106.3441,175.9825,63.8206,49.8034,5145.2925,789.8283,7513.7685,2026.4941,54.2159,868.0982,1167.4735,68.6536,38.2318,323.3709,25.9315,3203.4386,846.0635,950.038,29.7974,17.2589,4276.4645,1568.515,1465.3256,25.3165,5645.5974,887.0443,6132.3353,303.2258,77.879,92.1053,391.9393,1034.9382,473.2974,463.5905,10315.1767,3606.2739,2611.3097,13.8055,69.6884,540.5748,797.6597,123.7846,525.066,580.6633,644.8503,65.1852,1238.954,795.6094
FAM83A,1361.9092,1713.0977,1009.901,1509.0563,3681.951,3021.9684,100,200.5619,2133.8205,19.4738,4178.8791,1707.2961,933.6735,269.8706,413.7576,1218.0864,1069.6677,252.3877,461.3482,326.7606,272.5451,45.6821,359.8736,2673.1329,80.315,223.9745,9874.4541,526.7693,365.4181,284.9404,208.2927,71.6216,116.5825,143.6865,340.3331,313.899,974.3747,66.638,6107.0175,572.5417,646.8549,276.3807,1425.2788,1307.6923,367.5214,14456.0261,202.0024,740.1945,40.4561,691.0604,1960.2249,376.8884,70.8589,497.8541,2973.218,367.0051,446.0271,380.4348,744.2763,238.8548,530.3189,97.94,36.874,49.9109,1835.1178,210.2779,451.3274,87.3181,4300.9265,18.4411,170.1211,1055.6607,387.9189,249.9267,1053.9194,0.9606,277.6663,13.7232,70.4698,113.079,207.7356,1419.3297,4328.5796,106.2969,612.0365,33.8044,236.0814,832.6039,566.8347,190.3452,608.0039,879.3797,1252.2075,989.2195,1085.1684,264.253,17514.867,568.8421,983.6147,810.6079,660.9573,721.9898,63.8978,273.3624,426.0026,177.8069,387.8342,2962.7099,5009.6608,391.8669,2712.9416,269.1718,1762.0048,744.5205,32.2581,12.7389,1418.916,6605.2552,739.718,1752.98,15.4946,4.0609,282.1172,80.2558,165.1668,33.7553,758.6175,1897.1351,242.515,43.0108,224.3973,5.9809,1390.771,720.9203,182.2636,180.9661,78.1705,235.6726,651.372,6.6026,432.8612,1121.7244,209.1663,685.8639,113.0167,580.6633,390.5501,205.4321,566.7268,4036.3361
FGFBP1,41.7053,560.499,85.1485,2169.3291,20.9614,39.5431,506.8966,166.8468,411.9662,155.2172,2278.1918,133.4764,96.9388,164.7742,96.1179,434.1744,394.4266,211.68,1244.2795,23.4742,202.2507,30.6633,220.7704,1557.711,100.7874,113.0504,647.3799,194.4879,86.2369,184.7237,349.7561,55.4054,347.2222,35.9216,394.6416,39.0422,72.6901,56.3199,1474.8538,79.9308,131.7484,29.1422,1085.5019,525.641,48.433,1057.2359,83.0389,197.0505,65.9788,120.3294,703.5328,833.0241,58.2822,743.4527,50.2678,598.9848,18.0822,107.5712,438.8814,1627.4029,9.932,41.9227,80.9026,12.1212,81.7987,65.548,25.1872,16.632,823.4944,20.1565,986.9495,50.3597,336.9441,2.1091,14.3319,12.8082,61.9051,51.4619,0,55.8583,562.1936,65.4716,42.0477,53.7262,239.1188,130.7842,45.5032,135.6674,1037.677,188.1447,15.9113,262.4928,350.4415,160.8452,369.0067,62.422,2038.602,110.7368,71.003,182.878,250.778,32.84,77.1337,109.607,60.6296,40.6291,184.0372,902.5524,42.8835,561.3062,169.0892,74.7699,111.267,1404.1517,62.1266,51.9353,1030.6091,196.082,47.0035,1125.0317,244.9344,4.0609,498.9723,23.8121,36.5273,6.3291,96.3079,421.0813,29.3413,22.2222,94.1589,26.3158,516.9393,41.7554,318.9613,51.9106,7.9002,227.6292,67.9186,2.401,224.3626,104.8183,144.8074,114.4353,380.8267,120.2923,359.07,160.9877,55.4554,1844.0575
GPR87,513.4384,416.2162,344.0594,252.1572,444.2205,865.993,42.7586,10.8061,65.7684,3.4365,231.149,271.2446,64.4133,16.3718,377.7134,134.8988,235.7985,306.2471,218.9239,61.0329,175.1195,5.0063,5.3846,180.8923,47.2441,23.0354,1055.6769,5.2564,35.7143,48.7541,169.2683,31.7568,123.3165,1948.4761,394.6416,32.7954,102.5013,30.5245,741.5205,38.4852,350.1734,14.1011,94.4238,775.641,16.5242,704.0484,37.6914,41.4183,2.1721,424.0322,150.3734,65.7302,11.3497,59.5603,530.6963,267.5127,61.4041,145.8021,479.2838,322.6994,10.7162,32.1648,0.5504,44.9198,10.2784,41.9507,66.712,21.6216,282.868,47.1749,1023.198,446.8005,122.8495,4.4818,131.0845,0.6404,298.6466,19.8986,10.0671,19.7548,124.2056,98.9867,1160.9844,13.2871,243.4175,48.767,10.7066,39.9344,45.5964,64.3653,155.2555,112.579,233.9956,549.3747,217.2811,28.298,1212.8326,68.6316,139.5233,8.0607,16.2447,613.6668,28.754,40.6114,147.3193,20.9699,78.6517,1017.5538,784.9127,235.9827,288.2568,34.5092,311.1048,43.1404,406.81,7.8393,99.0715,279.658,149.8237,923.155,110.2503,4.0609,131.5519,95.6896,182.6363,391.8776,225.5767,213.3142,5.988,73.8351,245.957,2.3923,451.5187,73.285,41.1563,480.894,118.0873,122.2602,14.2306,1.8007,180.17,133.9814,10.7265,22.4383,504.3975,1036.5374,1739.7677,95.3086,89.2696,373.9591
KRT15,181.6497,1227.4428,519.802,348.8417,1021.4653,518.4534,182.7586,125.3512,200.9591,317.8803,308.5858,306.867,509.5663,1876.4193,563.191,882.8379,274.3837,347.581,256.6481,516.4319,557.4225,138.9237,349.1044,223.5694,85.0394,190.3074,570.9607,269.2043,803.1359,365.6555,249.7561,60.1351,225.1684,3644.0493,432.2954,75.4815,142.5217,6571.7971,209.3567,732.4034,402.6746,299.8825,98.1413,769.2308,131.0541,517.9153,114.2521,93.1911,340.2118,290.6697,246.0351,76.8619,26.6871,269.4228,232.3857,370.0508,201.1642,103.4483,299.4534,325.1534,97.4909,67.9436,47.8811,43.1373,469.379,180.9124,121.8516,128.0665,177.305,32.5935,486.0603,228.3226,152.4149,103.0816,266.7133,144.4124,272.2269,39.111,152.1253,252.0436,261.4854,562.7436,1393.8042,665.5113,465.8786,165.6969,254.2827,357.221,208.7833,748.1777,627.7724,1189.5462,321.7439,109.0987,326.1277,259.2593,3718.8315,165.4737,799.9007,364.7484,574.1496,280.3654,231.8576,127.9476,140.4054,43.2503,232.8555,674.4473,232.7273,476.8946,83.2026,465.8742,300.5871,439.7541,559.1398,117.5894,509.9853,2157.3616,136.8978,2862.7948,119.7855,1416.2437,299.5889,287.8183,961.3552,153.481,531.4958,163.8939,441.9162,85.3047,165.878,68.1818,678.7383,529.6123,80.8427,560.2019,222.0374,867.8866,366.1138,227.491,151.8414,335.5875,583.1302,151.8325,124.8901,426.4812,1103.2793,204.9383,175.3832,755.4883
KRT17,7418.9064,12069.0229,9389.604,19730.9352,9670.4626,11578.6467,11464.8276,6080.8299,1569.3081,8929.2874,104265.9955,10945.4936,105632.6531,11885.3974,10639.8037,21758.681,44336.5488,18411.1476,10758.8126,932.3944,4616.6179,2049.4368,7560.0388,10295.8293,2034.6457,10494.1969,15196.5066,2443.8642,11789.1986,6011.3759,11971.7073,3018.2432,30085.4377,129265.9652,17091.2382,5932.8475,10915.7734,5829.3207,38945.614,7368.4397,33027.7365,5245.5934,7580.6691,83201.1218,3449.0028,73912.5174,332.4499,5204.2673,2748.303,6943.6414,10355.2908,1830.6387,567.4847,18441.2718,2271.5286,6372.0812,1627.396,40174.6627,8160.1046,11533.3333,10198.6409,4479.2194,3542.6527,1003.9216,10063.8116,2928.6838,1579.9864,1827.4428,29235.8463,2609.1991,33728.4633,12600.9087,12948.6428,75.3998,4742.8122,520.6532,9643.204,1014.1417,2711.4094,1697.5477,10238.6054,5752.9228,17135.2263,1864.818,10402.4718,2416.7359,12885.9743,6248.9059,25247.9002,47478.4761,3075.6991,11112.0046,2274.8344,7876.671,5454.2906,3836.4544,170437.663,13236.6316,9711.0228,23906.6365,1820.4247,7668.8748,1880.8763,20585.5895,27031.7561,4741.8087,25358.7757,24068.6972,2084.9093,15517.5601,19893.4738,1692.1012,47809.3957,12362.2869,11930.1075,319.4512,14814.1745,49846.6244,7212.1034,73604.8694,9106.0787,10154.8223,22846.8654,6128.1005,2858.126,19078.0591,5494.1829,12709.5951,2134.1317,1753.405,12764.6843,3808.6124,38139.6028,7814.2309,2788.829,14957.4621,173.8046,29742.6101,8396.0368,18121.8487,3051.5581,21396.027,13039.4929,4967.8384,12055.409,2946.0371,131168.2562,4111.6049,4967.0875,29118.0924
